epoch,accuracy,precision,recall,f1
1.0,0.8353420852188718,0.8571560309848765,0.8138516767358375,0.8349427352346733
2.0,0.9022805681258121,0.9193899782135077,0.8867874967165748,0.9027944912421448
3.0,0.9169317621757247,0.9434504496152777,0.8910778390683828,0.9165165706051873
4.0,0.9339576145884673,0.9325158709452996,0.9388845109885299,0.9356893542757417
5.0,0.9321654195976522,0.9479967441439812,0.9177830312582086,0.9326452531363999
6.0,0.9383932971907344,0.9344404082338695,0.9459767095700902,0.9401731714745681
7.0,0.9412608091760384,0.9427995795374913,0.9423868312757202,0.9425931602224461
8.0,0.9415296384246606,0.9425196850393701,0.9432624113475178,0.9428909019298937
9.0,0.9426945651686903,0.9449026144937709,0.9429997373259784,0.9439502169244928
10.0,0.9422017115462162,0.9443031313042716,0.9426495052972594,0.9434755937253527
10.0,0.9415296384246606,0.9425196850393701,0.9432624113475178,0.9428909019298937
